"team_id","name","stats","team","player_ranks_plain"
"1610612747","Los Angeles Lakers","{""TEAM_NAME"":{""S"":""Los Angeles Lakers""},""GP"":{""N"":""82""},""W"":{""N"":""53""},""L"":{""N"":""29""},""W_PCT"":{""N"":""0.646""},""MIN"":{""N"":""48.1""},""FGM"":{""N"":""42""},""FGA"":{""N"":""83.7""},""FG_PCT"":{""N"":""0.502""},""FG3M"":{""N"":""11.8""},""FG3A"":{""N"":""32.9""},""FG3_PCT"":{""N"":""0.359""},""FTM"":{""N"":""20.4""},""FTA"":{""N"":""26.8""},""FT_PCT"":{""N"":""0.763""},""OREB"":{""N"":""9.4""},""DREB"":{""N"":""31.5""},""REB"":{""N"":""41""},""AST"":{""N"":""25.9""},""TOV"":{""N"":""14.5""},""STL"":{""N"":""8.5""},""BLK"":{""N"":""4.3""},""BLKA"":{""N"":""3.5""},""PF"":{""N"":""18.5""},""PFD"":{""N"":""21""},""PTS"":{""N"":""116.3""},""PLUS_MINUS"":{""N"":""1.8""},""GP_RANK"":{""N"":""1""},""W_RANK"":{""N"":""6""},""L_RANK"":{""N"":""6""},""W_PCT_RANK"":{""N"":""6""},""MIN_RANK"":{""N"":""29""},""FGM_RANK"":{""N"":""16""},""FGA_RANK"":{""N"":""29""},""FG_PCT_RANK"":{""N"":""1""},""FG3M_RANK"":{""N"":""23""},""FG3A_RANK"":{""N"":""24""},""FG3_PCT_RANK"":{""N"":""14""},""FTM_RANK"":{""N"":""3""},""FTA_RANK"":{""N"":""2""},""FT_PCT_RANK"":{""N"":""26""},""OREB_RANK"":{""N"":""29""},""DREB_RANK"":{""N"":""22""},""REB_RANK"":{""N"":""27""},""AST_RANK"":{""N"":""17""},""TOV_RANK"":{""N"":""15""},""STL_RANK"":{""N"":""14""},""BLK_RANK"":{""N"":""22""},""BLKA_RANK"":{""N"":""1""},""PF_RANK"":{""N"":""3""},""PFD_RANK"":{""N"":""6""},""PTS_RANK"":{""N"":""11""},""PLUS_MINUS_RANK"":{""N"":""14""}}","{""players"":{""L"":[{""N"":""1642876""},{""N"":""1629020""},{""N"":""1642261""},{""N"":""1629028""},{""N"":""1642355""},{""N"":""1628379""},{""N"":""1629637""},{""N"":""1631222""},{""N"":""1628467""},{""N"":""1630559""},{""N"":""1631166""},{""N"":""1641733""},{""N"":""2544""},{""N"":""1629060""},{""N"":""1643024""},{""N"":""203935""},{""N"":""1641723""},{""N"":""1629029""}]},""player_ranks"":{""M"":{""2544"":{""N"":""11""},""203935"":{""N"":""8""},""1628379"":{""N"":""7""},""1628467"":{""N"":""6""},""1629020"":{""N"":""5""},""1629028"":{""N"":""4""},""1629029"":{""N"":""3""},""1629060"":{""N"":""2""},""1629637"":{""N"":""1""},""1630559"":{""N"":""18""},""1631166"":{""N"":""17""},""1631222"":{""N"":""16""},""1641723"":{""N"":""15""},""1641733"":{""N"":""14""},""1642261"":{""N"":""13""},""1642355"":{""N"":""12""},""1642876"":{""N"":""10""},""1643024"":{""N"":""9""}}}}","{""2544"":11,""203935"":8,""1628379"":7,""1628467"":6,""1629020"":5,""1629028"":4,""1629029"":3,""1629060"":2,""1629637"":1,""1630559"":18,""1631166"":17,""1631222"":16,""1641723"":15,""1641733"":14,""1642261"":13,""1642355"":12,""1642876"":10,""1643024"":9}"
"1610612738","Boston Celtics","{""TEAM_NAME"":{""S"":""Boston Celtics""},""GP"":{""N"":""82""},""W"":{""N"":""56""},""L"":{""N"":""26""},""W_PCT"":{""N"":""0.683""},""MIN"":{""N"":""48.1""},""FGM"":{""N"":""42.1""},""FGA"":{""N"":""90.2""},""FG_PCT"":{""N"":""0.467""},""FG3M"":{""N"":""15.5""},""FG3A"":{""N"":""42.1""},""FG3_PCT"":{""N"":""0.367""},""FTM"":{""N"":""15.1""},""FTA"":{""N"":""18.7""},""FT_PCT"":{""N"":""0.807""},""OREB"":{""N"":""12.5""},""DREB"":{""N"":""33.9""},""REB"":{""N"":""46.4""},""AST"":{""N"":""24.6""},""TOV"":{""N"":""12.4""},""STL"":{""N"":""7.1""},""BLK"":{""N"":""5""},""BLKA"":{""N"":""4.1""},""PF"":{""N"":""19""},""PFD"":{""N"":""18.4""},""PTS"":{""N"":""114.9""},""PLUS_MINUS"":{""N"":""7.7""},""GP_RANK"":{""N"":""1""},""W_RANK"":{""N"":""4""},""L_RANK"":{""N"":""4""},""W_PCT_RANK"":{""N"":""4""},""MIN_RANK"":{""N"":""26""},""FGM_RANK"":{""N"":""14""},""FGA_RANK"":{""N"":""9""},""FG_PCT_RANK"":{""N"":""16""},""FG3M_RANK"":{""N"":""3""},""FG3A_RANK"":{""N"":""4""},""FG3_PCT_RANK"":{""N"":""8""},""FTM_RANK"":{""N"":""29""},""FTA_RANK"":{""N"":""30""},""FT_PCT_RANK"":{""N"":""7""},""OREB_RANK"":{""N"":""7""},""DREB_RANK"":{""N"":""7""},""REB_RANK"":{""N"":""3""},""AST_RANK"":{""N"":""27""},""TOV_RANK"":{""N"":""1""},""STL_RANK"":{""N"":""28""},""BLK_RANK"":{""N"":""11""},""BLKA_RANK"":{""N"":""3""},""PF_RANK"":{""N"":""9""},""PFD_RANK"":{""N"":""27""},""PTS_RANK"":{""N"":""19""},""PLUS_MINUS_RANK"":{""N"":""4""}}","{""players"":{""L"":[{""N"":""1628369""},{""N"":""202696""},{""N"":""1627759""},{""N"":""1642910""},{""N"":""1628401""},{""N"":""1630202""},{""N"":""1631199""},{""N"":""1641775""},{""N"":""1642864""},{""N"":""1630573""},{""N"":""1642917""},{""N"":""1630568""},{""N"":""1631248""},{""N"":""1642873""},{""N"":""1629674""}]},""player_ranks"":{""M"":{""202696"":{""N"":""9""},""1627759"":{""N"":""4""},""1628369"":{""N"":""3""},""1628401"":{""N"":""2""},""1629674"":{""N"":""1""},""1630202"":{""N"":""15""},""1630568"":{""N"":""14""},""1630573"":{""N"":""13""},""1631199"":{""N"":""12""},""1631248"":{""N"":""11""},""1641775"":{""N"":""10""},""1642864"":{""N"":""8""},""1642873"":{""N"":""7""},""1642910"":{""N"":""6""},""1642917"":{""N"":""5""}}}}","{""202696"":9,""1627759"":4,""1628369"":3,""1628401"":2,""1629674"":1,""1630202"":15,""1630568"":14,""1630573"":13,""1631199"":12,""1631248"":11,""1641775"":10,""1642864"":8,""1642873"":7,""1642910"":6,""1642917"":5}"
"1610612752","New York Knicks","{""TEAM_NAME"":{""S"":""New York Knicks""},""GP"":{""N"":""82""},""W"":{""N"":""53""},""L"":{""N"":""29""},""W_PCT"":{""N"":""0.646""},""MIN"":{""N"":""48.2""},""FGM"":{""N"":""42.7""},""FGA"":{""N"":""89.4""},""FG_PCT"":{""N"":""0.478""},""FG3M"":{""N"":""14.2""},""FG3A"":{""N"":""38.2""},""FG3_PCT"":{""N"":""0.373""},""FTM"":{""N"":""16.8""},""FTA"":{""N"":""21.3""},""FT_PCT"":{""N"":""0.792""},""OREB"":{""N"":""12.7""},""DREB"":{""N"":""32.9""},""REB"":{""N"":""45.6""},""AST"":{""N"":""27.4""},""TOV"":{""N"":""13.6""},""STL"":{""N"":""8.1""},""BLK"":{""N"":""3.9""},""BLKA"":{""N"":""4.3""},""PF"":{""N"":""20""},""PFD"":{""N"":""19.5""},""PTS"":{""N"":""116.5""},""PLUS_MINUS"":{""N"":""6.3""},""GP_RANK"":{""N"":""1""},""W_RANK"":{""N"":""6""},""L_RANK"":{""N"":""6""},""W_PCT_RANK"":{""N"":""6""},""MIN_RANK"":{""N"":""14""},""FGM_RANK"":{""N"":""9""},""FGA_RANK"":{""N"":""17""},""FG_PCT_RANK"":{""N"":""11""},""FG3M_RANK"":{""N"":""10""},""FG3A_RANK"":{""N"":""12""},""FG3_PCT_RANK"":{""N"":""4""},""FTM_RANK"":{""N"":""25""},""FTA_RANK"":{""N"":""25""},""FT_PCT_RANK"":{""N"":""10""},""OREB_RANK"":{""N"":""6""},""DREB_RANK"":{""N"":""11""},""REB_RANK"":{""N"":""7""},""AST_RANK"":{""N"":""13""},""TOV_RANK"":{""N"":""6""},""STL_RANK"":{""N"":""19""},""BLK_RANK"":{""N"":""29""},""BLKA_RANK"":{""N"":""7""},""PF_RANK"":{""N"":""19""},""PFD_RANK"":{""N"":""21""},""PTS_RANK"":{""N"":""10""},""PLUS_MINUS_RANK"":{""N"":""5""}}","{""players"":{""L"":[{""N"":""203903""},{""N"":""1630540""},{""N"":""1628404""},{""N"":""1642359""},{""N"":""1630631""},{""N"":""1628384""},{""N"":""1641755""},{""N"":""1628973""},{""N"":""1642278""},{""N"":""1631110""},{""N"":""1629011""},{""N"":""1628969""},{""N"":""1626157""},{""N"":""1641794""},{""N"":""1629013""},{""N"":""1641998""},{""N"":""1642885""},{""N"":""1630574""}]},""staff"":{""M"":{""Assistant Coach"":{""S"":""611b25a0-3011-70d1-db55-63235807ca9a""},""Coach"":{""S"":""618b75a0-00e1-70cb-e8fd-f0092da17fc4""}}},""player_ranks"":{""M"":{""203903"":{""N"":""8""},""1626157"":{""N"":""7""},""1628384"":{""N"":""6""},""1628404"":{""N"":""5""},""1628969"":{""N"":""4""},""1628973"":{""N"":""3""},""1629011"":{""N"":""2""},""1629013"":{""N"":""1""},""1630540"":{""N"":""18""},""1630574"":{""N"":""17""},""1630631"":{""N"":""16""},""1631110"":{""N"":""15""},""1641755"":{""N"":""14""},""1641794"":{""N"":""13""},""1641998"":{""N"":""12""},""1642278"":{""N"":""11""},""1642359"":{""N"":""10""},""1642885"":{""N"":""9""}}}}","{""203903"":8,""1626157"":7,""1628384"":6,""1628404"":5,""1628969"":4,""1628973"":3,""1629011"":2,""1629013"":1,""1630540"":18,""1630574"":17,""1630631"":16,""1631110"":15,""1641755"":14,""1641794"":13,""1641998"":12,""1642278"":11,""1642359"":10,""1642885"":9}"
